timestamp,object,distance_m,confidence,image_path
2026-03-02 09:44:48,person,0.77,0.84,alerts\alert_20260302_094448.jpg
2026-03-02 09:45:08,person,0.62,0.90,alerts\alert_20260302_094508.jpg
2026-03-02 09:45:28,person,0.71,0.90,alerts\alert_20260302_094528.jpg
2026-03-02 09:45:48,person,0.70,0.91,alerts\alert_20260302_094548.jpg
2026-03-02 09:46:08,person,0.71,0.92,alerts\alert_20260302_094608.jpg
2026-03-02 09:46:28,person,0.72,0.92,alerts\alert_20260302_094628.jpg
2026-03-02 09:46:49,person,0.71,0.92,alerts\alert_20260302_094649.jpg
2026-03-02 09:59:54,person,0.64,0.93,alerts\alert_20260302_095954.jpg
2026-03-02 10:00:14,person,0.86,0.84,alerts\alert_20260302_100014.jpg
2026-03-02 10:00:34,person,0.74,0.93,alerts\alert_20260302_100034.jpg
2026-03-02 10:00:54,person,0.68,0.67,alerts\alert_20260302_100054.jpg
2026-03-02 10:01:31,horse,0.65,0.49,alerts\alert_20260302_100131.jpg
2026-03-02 10:23:15,person,0.64,0.84,alerts\alert_20260302_102315.jpg
2026-03-02 12:05:45,person,0.89,0.83,alerts\alert_20260302_120545.jpg
2026-03-02 12:06:05,person,0.82,0.87,alerts\alert_20260302_120605.jpg
2026-03-02 12:06:25,person,0.64,0.67,alerts\alert_20260302_120625.jpg
2026-03-02 12:16:48,person,0.89,0.77,alerts\alert_20260302_121648.jpg
2026-03-02 12:17:09,person,0.92,0.76,alerts\alert_20260302_121709.jpg
2026-03-02 12:17:29,person,0.87,0.81,alerts\alert_20260302_121729.jpg
2026-03-02 12:17:49,person,0.77,0.80,alerts\alert_20260302_121749.jpg
2026-03-02 12:18:09,person,0.71,0.88,alerts\alert_20260302_121809.jpg
2026-03-02 12:18:29,person,0.99,0.38,alerts\alert_20260302_121829.jpg
2026-03-02 12:18:50,person,0.81,0.78,alerts\alert_20260302_121850.jpg
2026-03-02 12:19:10,person,0.78,0.45,alerts\alert_20260302_121910.jpg
2026-03-02 12:19:30,person,0.70,0.61,alerts\alert_20260302_121930.jpg
2026-03-02 12:19:51,person,0.95,0.75,alerts\alert_20260302_121951.jpg
2026-03-02 12:20:12,train,0.63,0.37,alerts\alert_20260302_122012.jpg
2026-03-02 12:20:38,person,0.93,0.71,alerts\alert_20260302_122038.jpg
2026-03-02 12:21:14,person,0.92,0.41,alerts\alert_20260302_122114.jpg
2026-03-02 12:21:34,person,0.75,0.88,alerts\alert_20260302_122134.jpg
2026-03-02 12:21:54,person,0.71,0.40,alerts\alert_20260302_122154.jpg
2026-03-02 12:22:15,person,0.74,0.95,alerts\alert_20260302_122215.jpg
2026-03-02 12:22:35,person,0.85,0.73,alerts\alert_20260302_122235.jpg
2026-03-02 12:22:55,person,0.81,0.95,alerts\alert_20260302_122255.jpg
2026-03-02 12:29:24,person,0.75,0.92,alerts\alert_20260302_122924.jpg
2026-03-02 12:29:44,person,0.87,0.91,alerts\alert_20260302_122944.jpg
2026-03-02 12:30:04,person,0.81,0.55,alerts\alert_20260302_123004.jpg
2026-03-02 12:31:10,person,0.94,0.89,alerts\alert_20260302_123110.jpg
2026-03-02 12:31:30,person,0.79,0.90,alerts\alert_20260302_123130.jpg
2026-03-02 12:31:51,person,0.76,0.92,alerts\alert_20260302_123151.jpg
2026-03-02 12:32:18,person,0.77,0.92,alerts\alert_20260302_123218.jpg
2026-03-02 12:32:41,person,0.82,0.91,alerts\alert_20260302_123241.jpg
2026-03-14 08:49:15,person,0.80,0.90,alerts\alert_20260314_084915.jpg
2026-03-14 08:49:35,person,0.76,0.92,alerts\alert_20260314_084935.jpg
2026-04-07 20:42:20,person,0.71,0.94,alerts\alert_20260407_204220.jpg
2026-04-07 20:42:41,person,0.85,0.93,alerts\alert_20260407_204241.jpg
2026-04-08 10:33:57,person,0.65,0.93,alerts\alert_20260408_103357.jpg
2026-04-15 20:32:56,person,0.70,0.92,alerts\alert_20260415_203256.jpg
2026-04-15 20:33:17,person,0.70,0.93,alerts\alert_20260415_203317.jpg
2026-04-15 20:33:37,person,0.65,0.89,alerts\alert_20260415_203337.jpg
2026-04-15 20:33:57,person,0.64,0.93,alerts\alert_20260415_203357.jpg
